Year	Month	Day	Hour	Minute	Deg N	Minutes	Dec	Deg W	Minutes	Dec	latitude	longitude	date
1998	6	28	16	20	37	44	0	25	39	0	37.7333	-25.6500	
1998	6	29	9	24	38	55	46	25	3	67	38.9243	-25.0612	
1998	6	29	19	4	39	36	55	25	3	42	39.6092	-25.0570	
1998	6	30	7	11	40	43	61	25	3	57	40.7268	-25.0595	
1998	6	30	19	26	41	38	52	25	4	3	41.6420	-25.0672	
1998	7	1	7	2	42	35	2	25	4	17	42.5837	-25.0695	
1998	7	1	18	22	43	40	24	24	47	76	43.6707	-24.7960	
1998	7	2	6	10	44	32	28	24	23	24	44.5380	-24.3873	
1998	7	2	18	0	45	37	8	23	56	28	45.6180	-23.9380	
1998	7	3	6	5	46	32	89	23	33	14	46.5482	-23.5523	
1998	7	3	18	0	47	14	87	22	46	62	47.2478	-22.7770	
1998	7	4	6	12	47	25	35	22	17	11	47.4225	-22.2852	
1998	7	4	18	5	47	37	62	20	41	45	47.6270	-20.6908	
1998	7	5	6	7	47	45	18	20	10	44	47.7530	-20.1740	
1998	7	5	18	0	47	56	31	19	4	10	47.9385	-19.0683	
1998	7	6	6	10	47	58	23	17	38	22	47.9705	-17.6370	
1998	7	6	18	3	48	9	81	16	4	13	48.1635	-16.0688	
1998	7	7	6	15	48	19	26	14	20	53	48.3210	-14.3422	
1998	7	7	18	2	48	27	15	12	42	17	48.4525	-12.7028	
1998	7	8	6	5	48	38	36	11	2	69	48.6393	-11.0448	
1998	7	8	18	0	48	55	7	9	26	0	48.9178	-9.4333	
1998	7	9	6	0	49	23	48	7	34	86	49.3913	-7.5810	
1998	7	9	18	17	49	34	44	5	48	82	49.5740	-5.8137
