Year	Month	Day	Hour	Minute	Deg N	Minutes	Dec	Deg W	Minutes	Dec	latitude	longitude		
1997	11	18	0	0	32	22	5	16	50	45	32.3675	-16.8408		
1997	11	18	1	55	32	8	63	16	47	57	32.1438	-16.7928		
1997	11	18	4	0	31	56	94	16	45	54	31.9490	-16.7590		
1997	11	18	6	0	31	44	52	16	43	79	31.7420	-16.7298		
1997	11	18	8	0	31	35	87	16	42	33	31.5978	-16.7055		
1997	11	18	12	0	31	19	70	16	40	82	31.3283	-16.6803		
1997	11	18	14	0	31	10	56	16	36	43	31.1760	-16.6072		
1997	11	18	16	0	31	0	62	16	32	52	31.0103	-16.5420		
1997	11	18	18	0	30	51	76	16	25	79	30.8627	-16.4298		
1997	11	18	19	45	30	44	56	16	20	68	30.7427	-16.3447		
1997	11	18	22	0	30	34	29	16	14	10	30.5715	-16.2350		
1997	11	19	0	0	30	25	39	16	13	89	30.4232	-16.2315		
1997	11	19	2	5	30	17	69	16	14	11	30.2948	-16.2352		
1997	11	19	4	0	30	10	53	16	14	6	30.1755	-16.2343		
1997	11	19	6	0	30	2	49	16	14	50	30.0415	-16.2417		
1997	11	19	8	0	29	54	87	16	13	17	29.9145	-16.2195
1997	11	19	9	55	29	47	72	16	11	11	29.7953	-16.1852
1997	11	19	13	0	29	34	48	16	9	21	29.5747	-16.1535
1997	11	19	19	0	29	8	88	16	6	52	29.1480	-16.1087
1997	11	19	21	0	29	0	0	16	5	12	29.0000	-16.0853
1997	11	19	23	15	28	49	38	16	2	38	28.8230	-16.0397
1997	11	20	1	25	28	39	62	16	1	67	28.6603	-16.0278
