Year	Month	Day	Hour	Minute	Deg N	Minutes	Dec	Deg W	Minutes	Dec	latitude	longitude	date
1998	5	18	16	15	40	47	10	74	0	0	40.7850	-74.0000	
1998	5	19	5	20	39	56	56	72	49	79	39.9427	-72.8298	
1998	5	19	17	0	39	43	22	71	48	55	39.7203	-71.8092	
1998	5	20	5	5	39	36	26	70	58	70	39.6043	-70.9783	
1998	5	20	17	0	40	0	16	70	0	80	40.0027	-70.0133	
1998	5	21	5	3	39	58	55	68	54	74	39.9758	-68.9123	
1998	5	21	17	3	39	51	92	67	19	78	39.8653	-67.3297	
1998	5	22	5	7	39	34	34	66	18	63	39.5723	-66.3105	
1998	5	22	17	3	39	23	74	65	7	20	39.3957	-65.1200	
1998	5	23	5	3	39	26	50	63	17	14	39.4417	-63.2857	
1998	5	23	17	3	39	31	44	61	45	56	39.5240	-61.7593	
1998	5	24	5	3	39	27	20	60	10	13	39.4533	-60.1688	
1998	5	24	17	0	39	30	76	58	31	17	39.5127	-58.5195	
1998	5	25	5	6	39	23	0	56	40	18	39.3833	-56.6697	
1998	5	25	17	1	39	18	44	55	13	54	39.3073	-55.2257	
1998	5	26	4	57	39	21	92	54	13	54	39.3653	-54.2257	
1998	5	26	17	8	39	33	5	53	2	4	39.5508	-53.0340	
1998	5	27	5	4	39	32	32	51	10	92	39.5387	-51.1820	
1998	5	27	17	0	39	35	43	49	19	5	39.5905	-49.3175	
1998	5	28	5	50	39	27	15	47	35	50	39.4525	-47.5917	
1998	5	28	17	14	39	13	63	46	10	16	39.2272	-46.1693	
1998	5	29	5	5	39	9	33	45	23	42	39.1555	-45.3903	
1998	5	29	17	5	39	5	46	44	45	4	39.0910	-44.7507	
1998	5	30	5	24	39	3	77	43	36	82	39.0628	-43.6137	
1998	5	30	17	2	39	0	96	42	27	33	39.0160	-42.4555	
1998	5	31	5	4	38	56	35	41	12	39	38.9392	-41.2065	
1998	6	1	5	6	38	48	73	39	13	19	38.8122	-39.2198	
1998	6	1	17	7	38	44	27	37	42	1	38.7378	-37.7002	
1998	6	2	5	4	38	32	34	35	52	92	38.5390	-35.8820	
1998	6	2	17	2	38	28	58	34	10	35	38.4763	-34.1725	
1998	6	3	5	5	38	30	15	32	29	44	38.5025	-32.4907	
1998	6	3	17	9	38	30	77	30	51	74	38.5128	-30.8623
